epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,1858.43,1.02652,1.00282,0.99644,0.52672,0.5246,0.59563,0.25731,1.97881,2.58726,1.96473,0.000618875,0.000618875,0.000618875
104,1876.46,1.04228,1.00173,1.02489,0.45494,0.43928,0.52584,0.24795,1.80353,2.70454,1.83311,0.000612687,0.000612687,0.000612687
105,1894.37,1.05774,0.97393,1.01732,0.45494,0.43928,0.52584,0.24795,1.80353,2.70454,1.83311,0.0006065,0.0006065,0.0006065
106,1912.3,1.07526,0.9922,0.9925,0.45494,0.43928,0.52584,0.24795,1.80353,2.70454,1.83311,0.000600313,0.000600313,0.000600313
107,1930.28,1.21644,1.03908,1.05165,0.45494,0.43928,0.52584,0.24795,1.80353,2.70454,1.83311,0.000594125,0.000594125,0.000594125
108,1948.31,1.22124,1.03495,1.03906,0.47171,0.47082,0.50104,0.22858,1.78106,2.69457,1.82827,0.000587938,0.000587938,0.000587938
109,1966.37,1.13059,0.9903,1.00876,0.47171,0.47082,0.50104,0.22858,1.78106,2.69457,1.82827,0.00058175,0.00058175,0.00058175
110,1984.32,1.16533,1.01027,1.01003,0.47171,0.47082,0.50104,0.22858,1.78106,2.69457,1.82827,0.000575563,0.000575563,0.000575563
111,2002.32,1.11445,0.97722,0.99146,0.47171,0.47082,0.50104,0.22858,1.78106,2.69457,1.82827,0.000569375,0.000569375,0.000569375
112,2020.68,1.12804,0.98527,1.02916,0.50337,0.4317,0.55513,0.25648,1.86845,2.54473,1.85469,0.000563187,0.000563187,0.000563187
113,2038.69,1.07641,0.95444,1.0525,0.50337,0.4317,0.55513,0.25648,1.86845,2.54473,1.85469,0.000557,0.000557,0.000557
114,2056.82,1.03393,0.98755,0.99976,0.50337,0.4317,0.55513,0.25648,1.86845,2.54473,1.85469,0.000550813,0.000550813,0.000550813
115,2074.81,1.07281,0.98186,1.00927,0.50337,0.4317,0.55513,0.25648,1.86845,2.54473,1.85469,0.000544625,0.000544625,0.000544625
116,2092.83,1.00905,0.94324,0.96489,0.48521,0.5266,0.60074,0.30374,1.89743,2.44291,1.8315,0.000538438,0.000538438,0.000538438
117,2110.8,1.10633,1.06669,1.0526,0.48521,0.5266,0.60074,0.30374,1.89743,2.44291,1.8315,0.00053225,0.00053225,0.00053225
118,2128.8,1.11071,0.94663,0.99479,0.48521,0.5266,0.60074,0.30374,1.89743,2.44291,1.8315,0.000526063,0.000526063,0.000526063
119,2146.73,1.09074,1.0603,1.08159,0.48521,0.5266,0.60074,0.30374,1.89743,2.44291,1.8315,0.000519875,0.000519875,0.000519875
120,2164.76,1.04154,0.98091,1.00508,0.48067,0.53238,0.60182,0.29693,1.79887,2.41582,1.76678,0.000513688,0.000513688,0.000513688
121,2182.71,1.03018,0.99985,0.99637,0.48067,0.53238,0.60182,0.29693,1.79887,2.41582,1.76678,0.0005075,0.0005075,0.0005075
122,2200.97,0.94818,0.88281,0.96837,0.48067,0.53238,0.60182,0.29693,1.79887,2.41582,1.76678,0.000501313,0.000501313,0.000501313
